Gene_id	Empty_ASV_2h_1	Empty_ASV_2h_2	Empty_ASV_2h_3	Empty_ASV_4h_1	Empty_ASV_4h_2	Empty_ASV_4h_3	Empty_DMSO_2h_1	Empty_DMSO_2h_2	Empty_DMSO_2h_3	Empty_DMSO_4h_1	Empty_DMSO_4h_2	Empty_DMSO_4h_3	Ascl1_ASV_2h_1	Ascl1_ASV_2h_2	Ascl1_ASV_2h_3	Ascl1_ASV_4h_1	Ascl1_ASV_4h_2	Ascl1_ASV_4h_3	Ascl1_DMSO_2h_1	Ascl1_DMSO_2h_2	Ascl1_DMSO_2h_3	Ascl1_DMSO_4h_1	Ascl1_DMSO_4h_2	Ascl1_DMSO_4h_3
Sfrp5	4	0	0	5	5	0	0	0	0	0	0	0	3	3	0	4	1	3	1	5	3	0	1	0
Sfswap	106	0	85	341	343	0	0	49	0	6	71	0	53	53	0	220	28	19	176	174	26	20	37	60
Sft2d1	8	0	3	1	6	0	0	0	0	0	1	0	2	0	0	3	2	2	4	4	0	0	1	1
Sft2d2	42	0	18	98	86	0	0	10	1	0	31	0	9	13	0	61	3	4	34	53	8	3	3	9
Sft2d3	64	0	41	262	151	0	0	28	0	6	33	1	29	28	0	75	14	22	89	96	19	6	12	13
Sfta2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sftpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sftpb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sftpc	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sftpd	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	5	0	0	0	0
Sfxn1	148	1	89	541	400	0	0	84	3	24	165	0	67	90	0	367	39	35	211	387	56	28	52	56
Sfxn2	2	0	13	16	10	0	0	3	0	0	4	0	7	1	0	19	6	4	2	18	7	7	7	9
Sfxn3	0	0	1	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	1	4	1	0	1	0
Sfxn4	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
Sfxn5	2	0	1	0	4	0	0	0	0	0	3	0	1	0	0	15	2	1	9	2	0	0	1	0
Sgca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgcb	2	0	0	5	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	1
Sgcd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	1	0	0	0
Sgcg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Sgcz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgf29	14	1	18	40	47	0	0	13	0	3	13	0	2	5	0	67	1	7	32	41	2	3	0	3
Sgip1	0	0	4	2	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0
Sgk1	3748	34	2730	11630	7884	0	0	670	12	108	2254	1	1266	1848	2	3844	395	753	6535	9732	1594	1540	1338	2133
Sgk2	12	0	16	32	18	0	0	7	0	0	13	0	3	8	0	25	5	6	35	32	6	9	8	3
Sgk3	10	0	12	23	16	0	0	0	0	5	5	0	13	7	0	20	6	12	10	17	13	18	16	9
Sgms1	58	0	31	141	97	0	0	16	1	7	21	0	25	7	0	98	15	39	53	94	18	15	20	25
Sgms2	18	0	12	50	26	0	0	7	0	0	17	0	5	5	0	13	1	2	7	37	5	2	8	8
Sgo1	154	0	118	420	353	0	0	78	0	31	147	0	60	62	0	344	33	69	196	318	79	41	60	85
Sgo2a	208	1	34	158	175	0	0	14	0	2	15	0	41	11	0	105	21	56	29	109	36	29	49	66
Sgpl1	38	2	22	330	172	0	0	21	0	10	33	0	37	22	0	107	14	15	124	143	22	19	17	21
